Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58786860,"Born to Be Hanged: The Epic Story of the Gentlemen Pirates Who Raided the South Seas, Rescued a Princess, and Stole a Fortune",Keith Thomson,"Thomson, Keith",,"=""031670363X""","=""9780316703635""",0,3.80,Back Bay Books,Paperback,384,2023,2022,,2024/06/02,to-read,to-read (#212),to-read,,,,0,0
200351587,The Deep Sky,Yume Kitasei,"Kitasei, Yume",,"=""""","=""""",0,3.69,,Audible Audio,,2023,2023,,2024/06/02,to-read,to-read (#211),to-read,,,,0,0
60018635,The Very Secret Society of Irregular Witches,Sangu Mandanna,"Mandanna, Sangu",,"=""059343935X""","=""9780593439357""",0,4.07,Berkley,Paperback,318,2022,2022,,2024/06/02,to-read,to-read (#210),to-read,,,,0,0
199798167,"Fat Leonard: How One Man Bribed, Bilked, and Seduced the U.S. Navy",Craig Whitlock,"Whitlock, Craig",,"=""1982131632""","=""9781982131630""",0,4.35,Simon & Schuster,Hardcover,480,2024,,,2024/06/02,to-read,to-read (#209),to-read,,,,0,0
199489911,A View from the Stars,Cixin Liu,"Liu, Cixin",,"=""""","=""""",0,3.57,Macmillan Audio,Audible Audio,,2024,2023,,2024/06/02,to-read,to-read (#208),to-read,,,,0,0
575506,Ike: An American Hero,Michael Korda,"Korda, Michael",,"=""0060756659""","=""9780060756659""",0,4.12,Harper,Hardcover,800,2007,2007,2022/01/01,2024/05/30,,,read,,,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",5,4.27,Del Rey,Hardcover,382,2014,2014,2024/05/27,2024/01/03,favorites,favorites (#18),read,,,,1,0
39673345,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,"=""0393609103""","=""9780393609103""",4,4.10,W. W. Norton & Company,Kindle Edition,232,2018,2017,2024/05/26,2024/05/25,,,read,,,,1,0
48643567,The Doors of Eden,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""9781509865925""",0,3.87,Tor,ebook,609,2020,2020,,2024/05/26,to-read,to-read (#207),to-read,,,,0,0
122754906,A Stroke of the Pen: The Lost Stories,Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""0857529633""","=""9780857529633""",4,4.00,Doubleday,Hardcover,240,2023,2023,2024/05/26,2024/05/25,,,read,,,,1,0
40192833,New York 2140,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""""","=""""",0,3.60,Orbit,Kindle Edition,624,2017,2017,,2024/05/25,to-read,to-read (#206),to-read,,,,0,0
208696772,"The Hundred Thousand Kingdoms (Inheritance Trilogy, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""0748115900""","=""""",0,3.90,Orbit,Kindle Edition,417,2024,2010,,2024/05/25,to-read,to-read (#205),to-read,,,,0,0
17563539,The Egg,Andy Weir,"Weir, Andy",,"=""""","=""""",5,4.21,Andy Weir / Galactanet,ebook,3,2009,2009,2024/05/25,2024/05/25,,,read,,,,1,0
13651,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",3,4.25,Harper Voyager,Paperback,387,1994,1974,2024/05/22,2023/01/26,,,read,,,,1,0
59572187,Nordenholt's Million (MIT Press / Radium Age),J.J. Connington,"Connington, J.J.","Matthew Battles, Evan Hepler-Smith","=""0262544288""","=""9780262544283""",0,3.19,The MIT Press,Paperback,368,2022,1923,,2024/05/25,to-read,to-read (#204),to-read,,,,0,0
